,symbol,price,timestamp,lag1,lag2,lag3
0,HDFCBANK.BO,844.3939819335938,2024-10-31 00:00:00.000000,844.4183349609375,852.2055053710938,844.07763671875
1,HDFCBANK.BO,845.7811279296875,2024-11-01 00:00:00.000000,844.3939819335938,844.4183349609375,852.2055053710938
2,HDFCBANK.BO,834.2220458984375,2024-11-04 00:00:00.000000,845.7811279296875,844.3939819335938,844.4183349609375
3,HDFCBANK.BO,855.5880126953125,2024-11-05 00:00:00.000000,834.2220458984375,845.7811279296875,844.3939819335938
4,HDFCBANK.BO,853.7385864257812,2024-11-06 00:00:00.000000,855.5880126953125,834.2220458984375,845.7811279296875
5,HDFCBANK.BO,849.8450317382812,2024-11-07 00:00:00.000000,853.7385864257812,855.5880126953125,834.2220458984375
6,HDFCBANK.BO,853.9332275390625,2024-11-08 00:00:00.000000,849.8450317382812,853.7385864257812,855.5880126953125
7,HDFCBANK.BO,859.7979125976562,2024-11-11 00:00:00.000000,853.9332275390625,849.8450317382812,853.7385864257812
8,HDFCBANK.BO,836.3148193359375,2024-11-12 00:00:00.000000,859.7979125976562,853.9332275390625,849.8450317382812
9,HDFCBANK.BO,818.2584228515625,2024-11-13 00:00:00.000000,836.3148193359375,859.7979125976562,853.9332275390625
10,HDFCBANK.BO,824.0257568359375,2024-11-14 00:00:00.000000,818.2584228515625,836.3148193359375,859.7979125976562
11,HDFCBANK.BO,829.5740966796875,2024-11-18 00:00:00.000000,824.0257568359375,818.2584228515625,836.3148193359375
12,HDFCBANK.BO,847.9468994140625,2024-11-19 00:00:00.000000,829.5740966796875,824.0257568359375,818.2584228515625
13,HDFCBANK.BO,847.8008422851562,2024-11-21 00:00:00.000000,847.9468994140625,829.5740966796875,824.0257568359375
14,HDFCBANK.BO,849.7476806640625,2024-11-22 00:00:00.000000,847.8008422851562,847.9468994140625,829.5740966796875
15,HDFCBANK.BO,868.5584716796875,2024-11-25 00:00:00.000000,849.7476806640625,847.8008422851562,847.9468994140625
16,HDFCBANK.BO,868.9478759765625,2024-11-26 00:00:00.000000,868.5584716796875,849.7476806640625,847.8008422851562
17,HDFCBANK.BO,881.4072265625,2024-11-27 00:00:00.000000,868.9478759765625,868.5584716796875,849.7476806640625
18,HDFCBANK.BO,872.5980224609375,2024-11-28 00:00:00.000000,881.4072265625,868.9478759765625,868.5584716796875
19,HDFCBANK.BO,874.9098510742188,2024-11-29 00:00:00.000000,872.5980224609375,881.4072265625,868.9478759765625
20,HDFCBANK.BO,878.2681274414062,2024-12-02 00:00:00.000000,874.9098510742188,872.5980224609375,881.4072265625
21,HDFCBANK.BO,889.1213989257812,2024-12-03 00:00:00.000000,878.2681274414062,874.9098510742188,872.5980224609375
22,HDFCBANK.BO,905.2797241210938,2024-12-04 00:00:00.000000,889.1213989257812,878.2681274414062,874.9098510742188
23,HDFCBANK.BO,907.1048583984375,2024-12-05 00:00:00.000000,905.2797241210938,889.1213989257812,878.2681274414062
24,HDFCBANK.BO,903.5519409179688,2024-12-06 00:00:00.000000,907.1048583984375,905.2797241210938,889.1213989257812
25,HDFCBANK.BO,910.0250854492188,2024-12-09 00:00:00.000000,903.5519409179688,907.1048583984375,905.2797241210938
26,HDFCBANK.BO,909.17333984375,2024-12-10 00:00:00.000000,910.0250854492188,903.5519409179688,907.1048583984375
27,HDFCBANK.BO,907.05615234375,2024-12-11 00:00:00.000000,909.17333984375,910.0250854492188,903.5519409179688
28,HDFCBANK.BO,904.7443237304688,2024-12-12 00:00:00.000000,907.05615234375,909.17333984375,910.0250854492188
29,HDFCBANK.BO,911.1201171875,2024-12-13 00:00:00.000000,904.7443237304688,907.05615234375,909.17333984375
30,HDFCBANK.BO,907.591552734375,2024-12-16 00:00:00.000000,911.1201171875,904.7443237304688,907.05615234375
31,HDFCBANK.BO,892.0415649414062,2024-12-17 00:00:00.000000,907.591552734375,911.1201171875,904.7443237304688
32,HDFCBANK.BO,881.5045776367188,2024-12-18 00:00:00.000000,892.0415649414062,907.591552734375,911.1201171875
33,HDFCBANK.BO,872.86572265625,2024-12-19 00:00:00.000000,881.5045776367188,892.0415649414062,907.591552734375
34,HDFCBANK.BO,862.450439453125,2024-12-20 00:00:00.000000,872.86572265625,881.5045776367188,892.0415649414062
35,HDFCBANK.BO,876.540283203125,2024-12-23 00:00:00.000000,862.450439453125,872.86572265625,881.5045776367188
36,HDFCBANK.BO,874.9098510742188,2024-12-24 00:00:00.000000,876.540283203125,862.450439453125,872.86572265625
37,HDFCBANK.BO,872.038330078125,2024-12-26 00:00:00.000000,874.9098510742188,876.540283203125,862.450439453125
38,HDFCBANK.BO,875.0071411132812,2024-12-27 00:00:00.000000,872.038330078125,874.9098510742188,876.540283203125
39,HDFCBANK.BO,865.6868896484375,2024-12-30 00:00:00.000000,875.0071411132812,872.038330078125,874.9098510742188
40,HDFCBANK.BO,862.6450805664062,2024-12-31 00:00:00.000000,865.6868896484375,875.0071411132812,872.038330078125
41,HDFCBANK.BO,867.5120239257812,2025-01-01 00:00:00.000000,862.6450805664062,865.6868896484375,875.0071411132812
42,HDFCBANK.BO,872.8170776367188,2025-01-02 00:00:00.000000,867.5120239257812,862.6450805664062,865.6868896484375
43,HDFCBANK.BO,851.3781127929688,2025-01-03 00:00:00.000000,872.8170776367188,867.5120239257812,862.6450805664062
44,HDFCBANK.BO,832.39697265625,2025-01-06 00:00:00.000000,851.3781127929688,872.8170776367188,867.5120239257812
45,HDFCBANK.BO,834.2463989257812,2025-01-07 00:00:00.000000,832.39697265625,851.3781127929688,872.8170776367188
