,Date,Adj Close,Close,High,Low,Open,Volume
0,2024-10-23,1333.524169921875,1338.8499755859375,1357.5,1335.5,1340.5,849614
1,2024-10-24,1334.6446533203125,1339.9749755859375,1343.800048828125,1323.5,1337.5,867390
2,2024-10-25,1322.4434814453125,1327.7249755859375,1343.8499755859375,1322.5,1343.8499755859375,1470496
3,2024-10-28,1328.9923095703125,1334.300048828125,1353.1500244140625,1322.0,1338.0,384134
4,2024-10-29,1333.623779296875,1338.949951171875,1342.9000244140625,1320.5,1334.300048828125,363373
5,2024-10-31,1327.299072265625,1332.5999755859375,1342.9000244140625,1326.050048828125,1341.9000244140625,657957
6,2024-11-01,1333.773193359375,1339.0999755859375,1341.0,1334.300048828125,1339.8499755859375,290859
7,2024-11-04,1296.82080078125,1302.0,1338.5999755859375,1285.0999755859375,1337.0,1351832
8,2024-11-06,1320.277099609375,1325.550048828125,1328.449951171875,1300.300048828125,1311.8499755859375,873762
9,2024-11-07,1300.456298828125,1305.6500244140625,1324.0,1303.199951171875,1322.1500244140625,529604
10,2024-11-08,1278.892333984375,1284.0,1302.800048828125,1278.0,1302.6500244140625,927106
11,2024-11-11,1267.9859619140625,1273.050048828125,1285.949951171875,1266.3499755859375,1282.5999755859375,695566
12,2024-11-12,1268.0357666015625,1273.0999755859375,1289.4000244140625,1269.0,1275.0,592220
13,2024-11-13,1247.2686767578125,1252.25,1275.0,1249.699951171875,1269.5,525801
14,2024-11-14,1262.6572265625,1267.699951171875,1272.5,1252.25,1254.550048828125,799527
15,2024-11-18,1255.63525390625,1260.6500244140625,1273.0999755859375,1244.0,1266.550048828125,609245
16,2024-11-19,1236.3623046875,1241.300048828125,1281.0,1235.449951171875,1259.050048828125,397953
17,2024-11-21,1218.334228515625,1223.199951171875,1247.050048828125,1217.699951171875,1247.050048828125,491073
18,2024-11-22,1260.9141845703125,1265.949951171875,1268.6500244140625,1223.050048828125,1229.9000244140625,1055840
19,2024-11-25,1282.6773681640625,1287.800048828125,1304.3499755859375,1282.6500244140625,1294.800048828125,962533
20,2024-11-26,1290.396484375,1295.550048828125,1297.8499755859375,1284.0,1296.449951171875,487024
21,2024-11-27,1287.7569580078125,1292.9000244140625,1303.800048828125,1286.199951171875,1295.75,263573
22,2024-11-28,1266.292724609375,1271.3499755859375,1296.800048828125,1269.25,1291.949951171875,481819
23,2024-11-29,1287.3087158203125,1292.449951171875,1299.300048828125,1274.75,1280.0,748891
24,2024-12-02,1303.8427734375,1309.050048828125,1311.050048828125,1277.0,1291.6500244140625,633384
25,2024-12-03,1318.0858154296875,1323.3499755859375,1326.699951171875,1307.25,1318.8499755859375,344673
26,2024-12-04,1303.79296875,1309.0,1329.0,1305.0,1326.949951171875,438492
27,2024-12-05,1315.9443359375,1321.199951171875,1329.5,1306.4000244140625,1310.75,674847
28,2024-12-06,1306.581787109375,1311.800048828125,1326.9000244140625,1309.800048828125,1326.9000244140625,412701
29,2024-12-09,1289.998046875,1295.1500244140625,1315.449951171875,1292.9000244140625,1303.0,554024
30,2024-12-10,1279.8385009765625,1284.949951171875,1295.0,1280.75,1290.0,438986
31,2024-12-11,1273.015869140625,1278.0999755859375,1290.0,1275.3499755859375,1286.5,594409
32,2024-12-12,1258.822509765625,1263.8499755859375,1278.0999755859375,1261.050048828125,1275.199951171875,683512
33,2024-12-13,1268.28466796875,1273.3499755859375,1275.1500244140625,1240.0,1265.0,1106984
34,2024-12-16,1263.005859375,1268.050048828125,1281.5999755859375,1266.8499755859375,1275.0,465483
35,2024-12-17,1240.1470947265625,1245.0999755859375,1262.6500244140625,1242.5999755859375,1262.6500244140625,639483
36,2024-12-18,1248.0655517578125,1253.050048828125,1259.9000244140625,1241.75,1243.4000244140625,260426
37,2024-12-19,1225.704833984375,1230.5999755859375,1244.949951171875,1229.4000244140625,1239.949951171875,424104
38,2024-12-20,1201.20263671875,1206.0,1239.75,1202.0999755859375,1229.949951171875,1166317
39,2024-12-23,1217.2386474609375,1222.0999755859375,1227.0,1213.1500244140625,1217.25,3332773
40,2024-12-24,1218.633056640625,1223.5,1233.449951171875,1221.449951171875,1231.9000244140625,268064
41,2024-12-26,1211.760498046875,1216.5999755859375,1228.0,1214.449951171875,1224.6500244140625,556935
42,2024-12-27,1216.0931396484375,1220.949951171875,1227.5999755859375,1216.6500244140625,1216.6500244140625,653086
43,2024-12-30,1206.083251953125,1210.9000244140625,1223.3499755859375,1208.6500244140625,1219.6500244140625,314452
44,2024-12-31,1210.614990234375,1215.449951171875,1219.050048828125,1206.4000244140625,1210.4000244140625,444246
