,Date,Close,High,Low,Open,Volume,Symbol
0,2024-10-31,3837.786376953125,3942.83319893182,3825.948068330481,3922.0557593084036,417913,TCS.BO
1,2024-11-01,3851.460693359375,3861.704548548112,3846.0006699410283,3858.7570041454937,17194,TCS.BO
2,2024-11-04,3829.23388671875,3852.2824442590536,3783.4269725366435,3836.5301979269993,69842,TCS.BO
3,2024-11-06,3999.70556640625,4010.335885171762,3843.34343004027,3865.618827004233,426912,TCS.BO
4,2024-11-07,4009.94921875,4063.922337932196,3947.761998692973,4043.386495905905,44655,TCS.BO
5,2024-11-08,4005.697265625,4029.035552183135,3981.2477219681687,4019.178630936994,114003,TCS.BO
6,2024-11-11,4054.06494140625,4091.5612560543236,3980.570975580175,3995.9851257418095,37213,TCS.BO
7,2024-11-12,4054.93505859375,4072.378255586383,4025.0250200563087,4058.9936242306494,27766,TCS.BO
8,2024-11-13,4009.611083984375,4054.0170133198326,3992.167886060603,4046.0442742590726,22090,TCS.BO
9,2024-11-14,4006.808349609375,4020.5313124747663,3977.574975170316,3992.94052223674,150903,TCS.BO
10,2024-11-18,3884.4150390625,4073.3447915532875,3856.534518297639,4073.3447915532875,96670,TCS.BO
11,2024-11-19,3903.549560546875,3992.1677121503917,3880.8877019364027,3893.450805363649,55789,TCS.BO
12,2024-11-21,3940.22412109375,3952.545626408348,3889.73010911824,3952.497259592526,77479,TCS.BO
13,2024-11-22,4103.06103515625,4111.516969692579,3917.3688071127435,3942.5915102825593,228392,TCS.BO
14,2024-11-25,4170.08056640625,4182.546935865774,4110.93715388807,4149.641458448368,114861,TCS.BO
15,2024-11-26,4205.595703125,4217.868605941743,4142.78018453663,4142.78018453663,75212,TCS.BO
16,2024-11-27,4186.509765625,4229.900701983885,4177.8603625097985,4205.596020791594,33790,TCS.BO
17,2024-11-28,4105.28369140625,4194.2404089326765,4091.7060648004153,4182.4988338012045,46853,TCS.BO
18,2024-11-29,4129.9267578125,4153.555244777617,4054.9832031379433,4078.1284938205126,121945,TCS.BO
19,2024-12-02,4129.34716796875,4142.92479432641,4087.8404198742037,4121.616027694756,40342,TCS.BO
20,2024-12-03,4156.88916015625,4180.130710765923,4123.16168479634,4155.487702298802,30653,TCS.BO
21,2024-12-04,4208.73681640625,4238.984718264005,4149.883597108806,4174.719605633956,38270,TCS.BO
22,2024-12-05,4309.3857421875,4337.169526475865,4213.664754109512,4218.3032493465125,183703,TCS.BO
23,2024-12-06,4297.064453125,4313.106663752927,4264.69030285407,4300.446827033903,116291,TCS.BO
24,2024-12-09,4302.427734375,4319.7746692787005,4268.024537324812,4275.320612279412,81719,TCS.BO
25,2024-12-10,4283.00390625,4342.968378806505,4266.140166497845,4297.499795364842,40964,TCS.BO
26,2024-12-11,4278.7509765625,4300.349943573939,4259.471729076288,4289.333163314483,38019,TCS.BO
27,2024-12-12,4307.1630859375,4334.22207495943,4278.219442860157,4295.566376356673,99704,TCS.BO
28,2024-12-13,4323.25390625,4342.774753089598,4247.005626662142,4299.4805545947565,184505,TCS.BO
29,2024-12-16,4267.49267578125,4322.673783578804,4250.919138277949,4275.417283270088,34329,TCS.BO
30,2024-12-17,4179.06787109375,4281.554084689671,4172.883053115096,4267.492789889496,53684,TCS.BO
31,2024-12-18,4202.06787109375,4213.471113340042,4151.5738652056725,4179.019316615551,23020,TCS.BO
32,2024-12-19,4127.94580078125,4216.273985978885,4119.151534152006,4139.880843215841,55639,TCS.BO
33,2024-12-20,4027.972412109375,4234.684162868197,4013.3802616202597,4165.248761486654,125781,TCS.BO
34,2024-12-23,4017.100341796875,4073.682908422249,3976.7053221695533,4057.8822959392355,59196,TCS.BO
35,2024-12-24,4040.149169921875,4075.567364697957,4018.3086025653824,4020.1451260211775,38839,TCS.BO
36,2024-12-26,4028.50390625,4051.407125584004,4003.1361028959395,4035.655116440305,28724,TCS.BO
37,2024-12-27,4027.8759765625,4040.0040141931277,4009.562649177679,4022.125752199928,46264,TCS.BO
38,2024-12-30,4019.178466796875,4057.882299504669,3973.806148026482,4034.592144778393,34498,TCS.BO
39,2024-12-31,3959.503662109375,3994.438657689706,3898.427465473397,3984.9677277742226,49909,TCS.BO
40,2025-01-01,3974.5791015625,3995.6948732109645,3950.6127550066994,3962.2094656378345,29165,TCS.BO
41,2025-01-02,4043.628173828125,4062.2312310895677,3960.276813371012,3986.3212822855835,80295,TCS.BO
42,2025-01-03,3961.484619140625,4039.5689476151256,3953.5118806865394,4039.5689476151256,161332,TCS.BO
43,2025-01-06,3957.087646484375,4009.804408861827,3928.0958691111496,3967.04153723632,64713,TCS.BO
44,2025-01-07,3892.822265625,3997.869084383618,3876.4419597506762,3968.0076501679714,97931,TCS.BO
45,2025-01-08,3969.45751953125,3987.2876513681394,3882.0473579194586,3908.6231538505867,58204,TCS.BO
46,2025-01-09,3900.98828125,3997.8691316225445,3890.1647321860373,3967.9109634275433,72625,TCS.BO
47,2025-01-10,4122.19580078125,4152.395569784733,4031.9348255579184,4058.8489540681007,221040,TCS.BO
48,2025-01-13,4147.56298828125,4176.409897706155,4082.669828697373,4107.119841159569,129611,TCS.BO
49,2025-01-14,4091.46435546875,4170.902009825682,4076.630135825759,4136.256743406876,228749,TCS.BO
50,2025-01-15,4105.7666015625,4111.420091971489,4066.5795750618026,4081.8002566937475,142598,TCS.BO
51,2025-01-16,4066.6767578125,4145.824216665474,4051.359340866161,4126.496364839527,60642,TCS.BO
52,2025-01-17,4060.3779296875,4099.055500048879,4035.576729399863,4099.055500048879,41873,TCS.BO
53,2025-01-20,4012.399658203125,4083.7520069671496,4003.935966050914,4066.7256293010037,38280,TCS.BO
54,2025-01-21,3970.47412109375,4047.583699489049,3965.4055170209567,4033.1162527750885,169326,TCS.BO
55,2025-01-22,4088.229248046875,4097.086750028681,3987.2046132199916,3997.735150854448,62430,TCS.BO
56,2025-01-23,4080.061279296875,4124.594835557633,4076.2226435988114,4088.278689216365,20614,TCS.BO
57,2025-01-24,4085.572265625,4111.554658806377,4035.0846908594845,4035.0846908594845,40081,TCS.BO
58,2025-01-27,4001.81982421875,4089.2139022422784,3977.560203676517,4040.448619406776,31079,TCS.BO
59,2025-01-28,3972.541015625,4037.0041972647327,3965.7503591332984,4000.737545593073,74127,TCS.BO
60,2025-01-29,4031.492431640625,4040.9895467156175,3990.797031644381,3993.0114073092886,39893,TCS.BO
61,2025-01-30,4037.49609375,4064.4126767089647,3996.308608767676,4033.116358388149,47369,TCS.BO
62,2025-01-31,4043.942138671875,4062.493782436827,4023.6191865552164,4037.545053273635,45628,TCS.BO
63,2025-02-01,4009.250244140625,4063.6254699126457,3993.6020852321276,4035.1336435549756,14616,TCS.BO
64,2025-02-03,4002.902587890625,4011.4647929510693,3935.6839320439954,3966.1931098117784,32307,TCS.BO
65,2025-02-04,4048.567626953125,4054.7676862921608,4000.6385060139887,4024.4552972813594,75645,TCS.BO
66,2025-02-05,4025.981201171875,4095.118933710486,4011.366224945112,4095.118933710486,32703,TCS.BO
67,2025-02-06,4018.058349609375,4069.5303290328216,3988.5333411762467,4030.606478193454,40965,TCS.BO
68,2025-02-07,3965.55322265625,4027.1126735710054,3945.574585382394,3995.865372699192,22001,TCS.BO
69,2025-02-10,3971.60595703125,3987.795456242523,3950.495622784627,3985.827122228383,91371,TCS.BO
70,2025-02-11,3901.631591796875,3976.871351805432,3892.9711143435043,3965.9962583081233,73609,TCS.BO
71,2025-02-12,3887.656494140625,3956.351399834574,3878.8975038182152,3903.2556374366,70639,TCS.BO
72,2025-02-13,3847.207275390625,3914.9670284636413,3841.5483152000793,3892.380444105969,38697,TCS.BO
73,2025-02-14,3870.482666015625,3885.4912123653135,3838.841793919616,3862.8553719690617,88802,TCS.BO
74,2025-02-17,3841.597412109375,3872.2543586470206,3798.884659970031,3838.251340384228,126487,TCS.BO
75,2025-02-18,3808.184814453125,3862.461766734949,3799.8686516543635,3841.5972348579953,55205,TCS.BO
76,2025-02-19,3721.479736328125,3811.875325156298,3707.848928166287,3810.6943728891474,163847,TCS.BO
77,2025-02-20,3718.133544921875,3729.5007214457505,3695.5469610842574,3719.1669682922525,45355,TCS.BO
78,2025-02-21,3725.81005859375,3756.171705336471,3715.2302638027886,3721.3320508830134,89843,TCS.BO
79,2025-02-24,3616.715087890625,3707.7015161337195,3612.5323782843766,3707.7015161337195,276198,TCS.BO
80,2025-02-25,3573.60888671875,3600.0336264808034,3564.2593002268377,3582.3186204961276,209408,TCS.BO
81,2025-02-27,3555.15576171875,3580.350292776047,3543.0012031478923,3571.4927897681773,58527,TCS.BO
82,2025-02-28,3428.7392578125,3542.016973726939,3402.609816619874,3531.9785185499545,95141,TCS.BO
83,2025-03-03,3441.18896484375,3468.155042911104,3419.9801192148875,3444.4367638033546,90088,TCS.BO
84,2025-03-04,3476.71728515625,3493.6941650698686,3408.9575347095847,3428.78840267254,68643,TCS.BO
85,2025-03-05,3493.153076171875,3541.0327023997156,3465.3503597063964,3474.0600930889077,50343,TCS.BO
86,2025-03-06,3542.7060546875,3551.8095998302533,3480.1621910841486,3511.508007496556,52086,TCS.BO
87,2025-03-07,3554.122314453125,3567.556097814818,3518.397004506187,3567.556097814818,30644,TCS.BO
88,2025-03-10,3531.28955078125,3566.079708509267,3525.384549045505,3553.0394963428303,40546,TCS.BO
89,2025-03-11,3518.298583984375,3532.7167749936807,3480.900237221224,3496.99146410964,48906,TCS.BO
90,2025-03-12,3448.127685546875,3508.850742945735,3434.34934719429,3508.5061883768594,37641,TCS.BO
91,2025-03-13,3456.73876953125,3468.351746940135,3429.329624762956,3450.4892134937363,21598,TCS.BO
92,2025-03-17,3441.8779296875,3553.138053502388,3422.932715548824,3452.9498080802327,91119,TCS.BO
