,Date,Close,High,Low,Open,Volume,Symbol
0,2024-10-21,1363.6787109375,1368.5343185086278,1352.6228903232618,1364.3758777497208,394020,RELIANCE.BO
1,2024-10-22,1338.30517578125,1370.4766180258077,1335.0681038188648,1364.5004851721735,378276,RELIANCE.BO
2,2024-10-23,1333.524169921875,1352.100006482578,1330.1875201896742,1335.1676307107887,849614,RELIANCE.BO
3,2024-10-24,1334.6446533203125,1338.4545107014264,1318.2352139800448,1332.1795230059008,867390,RELIANCE.BO
4,2024-10-25,1322.4434814453125,1338.5043385734198,1317.239290041679,1338.5043385734198,1470496,RELIANCE.BO
5,2024-10-28,1328.9923095703125,1347.7673014556094,1316.7411893561791,1332.6775426312918,384134,RELIANCE.BO
6,2024-10-29,1333.623779296875,1337.5581396522678,1315.2472196740573,1328.9923736706933,363373,RELIANCE.BO
7,2024-10-31,1327.299072265625,1337.5581488860112,1320.7752002347631,1336.5621267514002,657957,RELIANCE.BO
8,2024-11-01,1333.773193359375,1335.6656596997586,1328.9923601457403,1334.5202099475741,290859,RELIANCE.BO
9,2024-11-04,1296.82080078125,1333.2751860715186,1279.9880026292783,1331.6815749957998,1351832,RELIANCE.BO
10,2024-11-06,1320.277099609375,1323.1654663360341,1295.1275424164128,1306.6315243399822,873762,RELIANCE.BO
11,2024-11-07,1300.456298828125,1318.7332803222923,1298.0159716954213,1316.8906637264013,529604,RELIANCE.BO
12,2024-11-08,1278.892333984375,1297.6175974772261,1272.9162015825789,1297.4681698502363,927106,RELIANCE.BO
13,2024-11-11,1267.9859619140625,1280.83454952222,1261.3125410044054,1277.4978998597549,695566,RELIANCE.BO
14,2024-11-12,1268.0357666015625,1284.270976174873,1263.952100130067,1269.928232991202,592220,RELIANCE.BO
15,2024-11-13,1247.2686767578125,1269.9281795697432,1244.7287717647814,1264.450058010815,525801,RELIANCE.BO
16,2024-11-14,1262.6572265625,1267.4381814998906,1247.268733032014,1249.559632603,799527,RELIANCE.BO
17,2024-11-18,1255.63525390625,1268.0356801134233,1239.0514620307738,1261.511808469161,609245,RELIANCE.BO
18,2024-11-19,1236.3623046875,1275.9043341695572,1230.5354780247956,1254.0416972960165,397953,RELIANCE.BO
19,2024-11-21,1218.334228515625,1242.0894537347,1212.856106765852,1242.0894537347,491073,RELIANCE.BO
