,symbol,price,timestamp,lag1,lag2,lag3
0,AAPL,224.8634796142578,2024-10-31 00:00:00.000000,229.03407287597656,232.58753967285156,232.31878662109375
1,AAPL,221.87738037109375,2024-11-01 00:00:00.000000,224.8634796142578,229.03407287597656,232.58753967285156
2,AAPL,220.98153686523438,2024-11-04 00:00:00.000000,221.87738037109375,224.8634796142578,229.03407287597656
3,AAPL,222.4148712158203,2024-11-05 00:00:00.000000,220.98153686523438,221.87738037109375,224.8634796142578
4,AAPL,221.68824768066406,2024-11-06 00:00:00.000000,222.4148712158203,220.98153686523438,221.87738037109375
5,AAPL,226.42620849609375,2024-11-07 00:00:00.000000,221.68824768066406,222.4148712158203,220.98153686523438
6,AAPL,226.15716552734375,2024-11-08 00:00:00.000000,226.42620849609375,221.68824768066406,222.4148712158203
7,AAPL,223.4368133544922,2024-11-11 00:00:00.000000,226.15716552734375,226.42620849609375,221.68824768066406
8,AAPL,223.4368133544922,2024-11-12 00:00:00.000000,223.4368133544922,226.15716552734375,226.42620849609375
9,AAPL,224.3236541748047,2024-11-13 00:00:00.000000,223.4368133544922,223.4368133544922,226.15716552734375
10,AAPL,227.41270446777344,2024-11-14 00:00:00.000000,224.3236541748047,223.4368133544922,223.4368133544922
11,AAPL,224.20408630371094,2024-11-15 00:00:00.000000,227.41270446777344,224.3236541748047,223.4368133544922
12,AAPL,227.21339416503906,2024-11-18 00:00:00.000000,224.20408630371094,227.41270446777344,224.3236541748047
13,AAPL,227.4724884033203,2024-11-19 00:00:00.000000,227.21339416503906,224.20408630371094,227.41270446777344
14,AAPL,228.18994140625,2024-11-20 00:00:00.000000,227.4724884033203,227.21339416503906,224.20408630371094
15,AAPL,227.71163940429688,2024-11-21 00:00:00.000000,228.18994140625,227.4724884033203,227.21339416503906
16,AAPL,229.05685424804688,2024-11-22 00:00:00.000000,227.71163940429688,228.18994140625,227.4724884033203
17,AAPL,232.04624938964844,2024-11-25 00:00:00.000000,229.05685424804688,227.71163940429688,228.18994140625
18,AAPL,234.22850036621094,2024-11-26 00:00:00.000000,232.04624938964844,229.05685424804688,227.71163940429688
19,AAPL,234.0989532470703,2024-11-27 00:00:00.000000,234.22850036621094,232.04624938964844,229.05685424804688
20,AAPL,236.49046325683594,2024-11-29 00:00:00.000000,234.0989532470703,234.22850036621094,232.04624938964844
21,AAPL,238.7424774169922,2024-12-02 00:00:00.000000,236.49046325683594,234.0989532470703,234.22850036621094
22,AAPL,241.79165649414062,2024-12-03 00:00:00.000000,238.7424774169922,236.49046325683594,234.0989532470703
23,AAPL,242.150390625,2024-12-04 00:00:00.000000,241.79165649414062,238.7424774169922,236.49046325683594
24,AAPL,242.18026733398438,2024-12-05 00:00:00.000000,242.150390625,241.79165649414062,238.7424774169922
25,AAPL,241.98097229003906,2024-12-06 00:00:00.000000,242.18026733398438,242.150390625,241.79165649414062
26,AAPL,245.8771514892578,2024-12-09 00:00:00.000000,241.98097229003906,242.18026733398438,242.150390625
27,AAPL,246.8935546875,2024-12-10 00:00:00.000000,245.8771514892578,241.98097229003906,242.18026733398438
28,AAPL,245.6180877685547,2024-12-11 00:00:00.000000,246.8935546875,245.8771514892578,241.98097229003906
29,AAPL,247.0828857421875,2024-12-12 00:00:00.000000,245.6180877685547,246.8935546875,245.8771514892578
30,AAPL,247.2522735595703,2024-12-13 00:00:00.000000,247.0828857421875,245.6180877685547,246.8935546875
31,AAPL,250.1519775390625,2024-12-16 00:00:00.000000,247.2522735595703,247.0828857421875,245.6180877685547
32,AAPL,252.58334350585938,2024-12-17 00:00:00.000000,250.1519775390625,247.2522735595703,247.0828857421875
33,AAPL,247.1725616455078,2024-12-18 00:00:00.000000,252.58334350585938,250.1519775390625,247.2522735595703
34,AAPL,248.90640258789062,2024-12-19 00:00:00.000000,247.1725616455078,252.58334350585938,250.1519775390625
35,AAPL,253.5897979736328,2024-12-20 00:00:00.000000,248.90640258789062,247.1725616455078,252.58334350585938
36,AAPL,254.36703491210938,2024-12-23 00:00:00.000000,253.5897979736328,248.90640258789062,247.1725616455078
37,AAPL,257.28668212890625,2024-12-24 00:00:00.000000,254.36703491210938,253.5897979736328,248.90640258789062
38,AAPL,258.1037292480469,2024-12-26 00:00:00.000000,257.28668212890625,254.36703491210938,253.5897979736328
39,AAPL,254.68588256835938,2024-12-27 00:00:00.000000,258.1037292480469,257.28668212890625,254.36703491210938
40,AAPL,251.307861328125,2024-12-30 00:00:00.000000,254.68588256835938,258.1037292480469,257.28668212890625
41,AAPL,249.53416442871094,2024-12-31 00:00:00.000000,251.307861328125,254.68588256835938,258.1037292480469
42,AAPL,242.9874267578125,2025-01-02 00:00:00.000000,249.53416442871094,251.307861328125,254.68588256835938
43,AAPL,242.49916076660156,2025-01-03 00:00:00.000000,242.9874267578125,249.53416442871094,251.307861328125
44,AAPL,244.1333465576172,2025-01-06 00:00:00.000000,242.49916076660156,242.9874267578125,249.53416442871094
45,AAPL,241.3532257080078,2025-01-07 00:00:00.000000,244.1333465576172,242.49916076660156,242.9874267578125
46,AAPL,241.8414764404297,2025-01-08 00:00:00.000000,241.3532257080078,244.1333465576172,242.49916076660156
47,AAPL,236.01219177246094,2025-01-10 00:00:00.000000,241.8414764404297,241.3532257080078,244.1333465576172
48,AAPL,233.5708465576172,2025-01-13 00:00:00.000000,236.01219177246094,241.8414764404297,241.3532257080078
49,AAPL,232.45480346679688,2025-01-14 00:00:00.000000,233.5708465576172,236.01219177246094,241.8414764404297
