,symbol,price,timestamp,lag1,lag2,lag3,sma5,sma10,sma20,sma50,sma100,sma200
335,TCS.BO,3522.727294921875,2025-03-21 00:00:00.000000,3506.390380859375,3441.779541015625,3496.400634765625,3481.83515625,3491.7752685546875,3524.484033203125,3806.5582421875,3936.258828125,3984.7630358886718
336,TCS.BO,3574.051513671875,2025-03-24 00:00:00.000000,3522.727294921875,3506.390380859375,3441.779541015625,3508.269873046875,3493.7681884765625,3517.279931640625,3795.5953564453125,3932.7841015625,3984.9865844726564
337,TCS.BO,3599.787353515625,2025-03-25 00:00:00.000000,3574.051513671875,3522.727294921875,3506.390380859375,3528.947216796875,3500.61796875,3510.978796386719,3784.63984375,3929.2270434570314,3985.1567895507815
338,TCS.BO,3577.939208984375,2025-03-26 00:00:00.000000,3599.787353515625,3574.051513671875,3522.727294921875,3556.179150390625,3506.58203125,3509.040002441406,3774.3693408203126,3925.6051635742188,3985.177117919922
339,TCS.BO,3593.833251953125,2025-03-27 00:00:00.000000,3577.939208984375,3599.787353515625,3574.051513671875,3573.667724609375,3521.1526123046874,3510.051220703125,3764.1306640625,3923.1656323242187,3985.128800048828
340,TCS.BO,3547.380859375,2025-03-28 00:00:00.000000,3593.833251953125,3577.939208984375,3599.787353515625,3578.5984375,3530.216796875,3509.6624755859375,3753.7447509765625,3920.1248364257813,3984.443780517578
341,TCS.BO,3494.137451171875,2025-04-01 00:00:00.000000,3547.380859375,3593.833251953125,3577.939208984375,3562.615625,3535.4427490234375,3512.9323852539064,3742.419951171875,3916.7738720703123,3983.1934240722658
342,TCS.BO,3488.871826171875,2025-04-02 00:00:00.000000,3494.137451171875,3547.380859375,3593.833251953125,3540.43251953125,3534.6898681640623,3515.3165283203125,3731.94939453125,3911.6655346679686,3982.0927478027343
343,TCS.BO,3350.006103515625,2025-04-03 00:00:00.000000,3488.871826171875,3494.137451171875,3547.380859375,3494.8458984375,3525.5125244140627,3508.9809692382814,3719.5400341796876,3905.066105957031,3980.3181811523436
344,TCS.BO,3247.20947265625,2025-04-04 00:00:00.000000,3350.006103515625,3488.871826171875,3494.137451171875,3425.521142578125,3499.59443359375,3496.6837890625,3702.7196337890623,3897.48123046875,3978.124129638672
345,TCS.BO,3224.7216796875,2025-04-07 00:00:00.000000,3247.20947265625,3350.006103515625,3488.871826171875,3360.989306640625,3469.7938720703123,3480.7845703125,3685.612841796875,3889.1877978515627,3975.600750732422
346,TCS.BO,3241.403076171875,2025-04-08 00:00:00.000000,3224.7216796875,3247.20947265625,3350.006103515625,3310.442431640625,3436.5290283203126,3465.1486083984373,3668.7294580078124,3881.052473144531,3973.3798303222657
347,TCS.BO,3194.704345703125,2025-04-09 00:00:00.000000,3241.403076171875,3224.7216796875,3247.20947265625,3251.608935546875,3396.0207275390626,3448.3193481445314,3652.5871484375,3872.9034057617187,3971.0081311035156
